id,material_cd,material_name,price_date,market_price,price_trend,market_condition,note
MP-0001,MAT-CATHODE,양극재,2024-01-01,150000,STABLE,안정적 공급,니켈 가격 안정
MP-0002,MAT-CATHODE,양극재,2024-02-01,156000,INCREASE,가격 상승,중국 생산 감소로 공급 부족
MP-0003,MAT-CATHODE,양극재,2024-03-01,162000,INCREASE,가격 급등,니켈 LME 가격 15% 상승
MP-0004,MAT-ANODE,음극재 (흑연),2024-01-01,30000,STABLE,안정적,중국 공급 안정
MP-0005,MAT-ANODE,음극재 (흑연),2024-02-01,29000,DECREASE,가격 하락,중국 춘절 이후 생산 증가
MP-0006,MAT-ANODE,음극재 (흑연),2024-03-01,31000,INCREASE,가격 반등,수요 증가로 반등
MP-0007,MAT-ELECTROLYTE,전해질,2024-01-01,85000,STABLE,안정,정상 공급
MP-0008,MAT-ELECTROLYTE,전해질,2024-02-01,88000,INCREASE,가격 상승,원료인 불화수소 가격 상승
MP-0009,MAT-ELECTROLYTE,전해질,2024-03-01,91000,INCREASE,상승 지속,중국 환경 규제 강화
MP-0010,MAT-SEPARATOR,분리막,2024-01-01,10000,STABLE,안정,정상 공급
MP-0011,MAT-SEPARATOR,분리막,2024-02-01,10300,INCREASE,소폭 상승,원가 증가
MP-0012,MAT-SEPARATOR,분리막,2024-03-01,10600,INCREASE,상승 추세,고성능 분리막 수요 증가
MP-0013,MAT-CASE,배터리 케이스,2024-01-01,40000,STABLE,안정,알루미늄 가격 안정
MP-0014,MAT-CASE,배터리 케이스,2024-02-01,41000,INCREASE,가격 상승,원자재 가격 인상
MP-0015,MAT-CASE,배터리 케이스,2024-03-01,42000,INCREASE,강세 지속,글로벌 알루미늄 수요 증가
